,call sign,owner,format,lat,long,station name,power,p. unit,frequency,city of licence,n_stations,language,genre
380,CFHK-FM,Corus Entertainment,hot adult contemporary,42.775,-81.183,103 1 Fresh Radio,60,kW,103.1 FM,St. Thomas,3,1,hot adult contemporary
381,CFEY-FM,Wawatay,First Nations community radio,53.86861,-92.17306,WRN,1,w,90.1 FM,Sachigo Lake,2,1,first nations community radio
382,CIDE-FM-14,Wawatay,First Nations community radio,53.86861,-92.17306,Wahsa,10,w,91.9 FM,Sachigo Lake,2,1,first nations community radio
383,CIDE-FM-15,Wawatay,First Nations community radio,53.067,-93.333,Wahsa,10,w,91.9 FM,Sandy Lake,2,1,first nations community radio
384,CBQV-FM,CBC Radio One,public news/talk,53.067,-93.333,CBC Radio One,37,w,101.1 FM,Sandy Lake,2,1,public news/talk
385,CHOK,Blackburn Radio,full service/variety,42.99944,-82.30889,CHOK,10,kW,1070 AM,Sarnia,6,1,full service/variety
386,CBEG-FM,CBC Radio One,public news/talk,42.99944,-82.30889,CBC Radio One,1.8,kW,90.3 FM,Sarnia,6,1,public news/talk
387,CFGX-FM,Blackburn Radio,adult contemporary,42.99944,-82.30889,99.9 The Fox,26,kW,99.9 FM,Sarnia,6,1,adult contemporary
388,CBEF-3-FM,Ici Radio-Canada Première,public news/talk (French),42.99944,-82.30889,IRC Première,1.886,kW,101.5 FM,Sarnia,6,1,public news/talk
389,CHOK-1-FM,Blackburn Radio,full service/variety,42.99944,-82.30889,CHOK,200,w,103.9 FM,Sarnia,6,1,full service/variety
390,CHKS-FM,Blackburn Radio,classic hits,42.99944,-82.30889,Cool 106.3,50,kW,106.3 FM,Sarnia,6,1,classic hits
391,CBON-FM-18,Ici Radio-Canada Première,public news/talk (French),46.533,-84.35,IRC Première,3.59,kW,88.1 FM,Sault Ste. Marie,5,1,public news/talk
392,CBSM-FM,CBC Radio One,public news/talk,46.533,-84.35,CBC Radio One,46,kW,89.5 FM,Sault Ste. Marie,5,1,public news/talk
393,CHAS-FM,Rogers Communications,hot adult contemporary,46.533,-84.35,Kiss 100.5,13.9,kW,100.5 FM,Sault Ste. Marie,5,1,hot adult contemporary
